repo	slug	status	decision	rationale
spore	pluriversal-incommensurability	active	hold-as-tension	**Hold as tension.** Spore's `mycorrhizal-federation-protocol` canon does not adopt a pluriversal-commoning position in this round. A held-tension pointer (`<!-- held-tension: 0001-pluriversal-incomme
spore	reproduction-primacy	active	edit	**Edit.** Four Spore canon foundation docs receive motivational-language additions. No primitive slugs change (per capstone §5.4 and bridge note §8, reframing chosen over renaming). Canon reads differ
spore	boundary-theory-unifier	active	edit	**edit.** Land two motivating-language additions: (a) an aliased-term section in `spore.term.field` that anchors boundary-commoning as the external cousin-concept for BETWEEN-field coordination, citin
spore	three-layer-coordination-stack	active	edit	**edit.** Land one additive paragraph in `docs/project-vision.md` naming the three-layer coordination stack (reproduction / production / governance) and stating Spore's across-all-three-layers occupan
spore	decentralization-myth-bundle	active	edit	**edit.** Land an additive section in `docs/foundations/mycorrhizal-federation-protocol.md` — "Decentralisation-Myth Bundle Declination" — placed after the existing "Boundary-Making Apparatus And Open
spore	polycentric-governance-at-holarchy	active	edit	**edit**. Add a new section `## Polycentric Governance as Scale-Up Logic` to `docs/foundations/holonic-network-architecture.md`, placed between `## Fractal Scale Levels` and `## Associational Practice
spore	coordination-substrate-at-stigmergy	active	edit	**edit**. Extend `docs/foundations/lexicon/stigmergy.md` with the following additions: 1. A new subsection **"Scale Applicability: Elliott Breakpoint"** (after the existing "Natural and Social Example
spore	collective-agency-at-field	active	edit	**edit**. Extend `docs/foundations/lexicon/field.md` with two paragraph additions: 1. A new subsection **"Three Tradition Substrates for Collective Agency"** (placed between "Three Existing Uses In Sp
intelligence-commons	pluriversal-incommensurability	accepted	hold-as-tension	**Hold as tension.** IC canon does not adopt a pluriversal-commoning position in this round. A held-tension pointer (`<!-- held-tension: 0001-pluriversal-incommensurability -->`) lands in both `affect
intelligence-commons	reproduction-primacy	accepted	edit	**Edit.** One IC canon file receives a motivational-language addition: - `docs/foundations/intelligence-primitives.md` — §2 Memory: motivational-language addition extending the existing primitive. Mem
intelligence-commons	boundary-theory-unifier	accepted	edit	**edit.** Land a motivating-language addition to `docs/foundations/memory-layer-model.md` naming the between-layer surface as a boundary-commoning review surface, and requiring cross-layer operations 
intelligence-commons	three-layer-coordination-stack	accepted	edit	**edit.** Land one additive paragraph in `docs/project-vision.md` naming the three-layer coordination stack (reproduction / production / governance) and stating IC's two-layer occupancy: governance-pr
intelligence-commons	decentralization-myth-bundle	accepted	edit	**edit.** Land one additive section in `docs/foundations/memory-layer-model.md` — "Admin-Class-Accumulation And Digital-Labor Declinations" — placed after the existing "Between-Layer Surface As Bounda
intelligence-commons	collective-agency-declination	accepted	reject	**reject**. IC canon does not primitive-level promote `collective-agency`. No canon file is edited (`affects_canon: []`). Rationale: 1. **Evidence at gate threshold only.** Single R-claim; 3S/0O exact
intelligence-commons	memory-governance-as-cross-cutting-primitive	accepted	edit	**edit.** Add one new top-level section to `docs/foundations/intelligence-primitives.md`, placed after §7 Capability Routing, titled **"Memory Governance as Cross-Cutting Primitive"**. The section: 1.
intelligence-commons	autopoietic-framing-held	accepted	hold-as-tension	**hold-as-tension.** Insert a held-tension marker in `docs/foundations/memory-layer-model.md` pointing at this ADR. No re-motivation of the layer descriptions or the cross-layer semantics. The autopoi
poietic-match	accounting-dependence-tension	accepted	hold-as-tension	**Hold as tension.** PM canon does not adopt an accounting-dependence position in this round. The PM Phase 0 deployment at Victoria LHC (May–June 2026) is the trigger to re-open with operational data;
poietic-match	reproduction-primacy	accepted	edit	**Edit.** One PM canon file receives a motivational-language addition: - `docs/project-vision.md` — "Commitment bundles" section: new paragraph added at the end of the section, acknowledging the tonti
poietic-match	boundary-theory-unifier	accepted	edit	**edit.** Land a motivating-language addition to `docs/project-vision.md` carrying: - the bioregioning / process-over-map framing as a first-class stance; - the configurable-by-participants discipline
poietic-match	three-layer-coordination-stack	accepted	edit	**edit.** Land one additive paragraph in `docs/project-vision.md` naming the three-layer coordination stack (reproduction / production / governance) and stating PM's three-layer occupancy: production-
poietic-match	decentralization-myth-bundle	accepted	reject	**reject.** PM canon does not use decentralization / peer / P2P vocabulary; the three-myth critiques do not bind PM canon surfaces by construction. No canon edit. The ADR-creation commit touches only 
poietic-match	coordination-substrate-at-protocol	accepted	edit	**edit**. Add a new section `## 10. Coordination Substrate: Stigmergy Acknowledgment` to `docs/protocol.md`, placed after the existing `## 9. Verifiability` section. The section: 1. Names stigmergy (H
poietic-match	market-coordination-position	accepted	edit	**Edit.** PM's project-vision adds an explicit position statement on market coordination, stating: (a) PM operates **beside** market coordination at the surface (matching / evidence / trust), not **ab
